id,schoolName,stateAbb,locale,totalStudents
418,SHELBY HIGH SCHOOL,MT ,33-Town: Remote,123
419,WEST SENECA WEST SENIOR HIGH SCHOOL,NY ,21-Suburb: Large,1202
420,PEABODY VETERANS MEMORIAL HIGH,MA ,21-Suburb: Large,1627
421,RED HOOK SENIOR HIGH SCHOOL,NY ,31-Town: Fringe,647
422,HENDERSON H S,TX ,32-Town: Distant,950
423,NATHAN HALE HIGH,WI ,13-City: Small,1571
424,UNIVERSITY CITY HIGH,CA ,11-City: Large,1813
425,SIUSLAW HIGH SCHOOL,OR ,33-Town: Remote,437
426,PLEVNA HIGH SCHOOL,MT ,43-Rural: Remote,16
427,NORTH EUGENE HIGH SCHOOL,OR ,12-City: Mid-size,911
428,LITTLETON HIGH SCHOOL,MA ,21-Suburb: Large,448
429,WEST SPRINGFIELD HIGH,MA ,21-Suburb: Large,1222
430,ALTA LOMA HIGH,CA ,21-Suburb: Large,2514
431,PINE ISLAND SECONDARY,MN ,31-Town: Fringe,380
432,WINNECONNE HIGH,WI ,31-Town: Fringe,486
433,BEAVER DAM HIGH,WI ,32-Town: Distant,1042
434,MARINER HIGH SCHOOL,FL ,12-City: Mid-size,1546
435,MILWAUKIE HIGH SCHOOL,OR ,21-Suburb: Large,1051
436,HOLCOMB HIGH,KS ,42-Rural: Distant,315
437,CONVAL REGIONAL HIGH SCHOOL,NH ,41-Rural: Fringe,786
438,GENEVA HIGH SCH,AL ,32-Town: Distant,342
439,SALINA HS,OK ,42-Rural: Distant,307
440,GILMER HIGH SCHOOL,GA ,32-Town: Distant,1217
441,SAUK RAPIDS-RICE SENIOR HIGH,MN ,41-Rural: Fringe,1301
442,BRADFORD AREA HS,PA ,33-Town: Remote,793
443,NORTHLAND PINES HIGH,WI ,43-Rural: Remote,407
444,MAHOPAC HIGH SCHOOL,NY ,21-Suburb: Large,1566
445,ANACORTES HIGH SCHOOL,WA ,31-Town: Fringe,787
446,LAPINE SENIOR HIGH SCHOOL,OR ,41-Rural: Fringe,424
447,LYNNFIELD HIGH,MA ,21-Suburb: Large,646
448,FAIRVIEW HS,PA ,41-Rural: Fringe,491
449,HOUSATONIC VALLEY REGIONAL HIGH SCHOOL,CT ,42-Rural: Distant,430
450,DANIEL HAND HIGH SCHOOL,CT ,21-Suburb: Large,1164
451,CROSWELL-LEXINGTON HIGH SCHOOL,MI ,41-Rural: Fringe,700
452,HORNELL SENIOR HIGH SCHOOL,NY ,33-Town: Remote,545
453,NORTH FAYETTE HIGH SCHOOL,IA ,43-Rural: Remote,352
454,THORP HIGH,WI ,42-Rural: Distant,184
455,CENTERVILLE HIGH SCHOOL,IA ,33-Town: Remote,379
456,CRESTON HIGH SCHOOL,IA ,33-Town: Remote,478
457,BROOKFIELD HIGH SCHOOL,CT ,22-Suburb: Mid-size,880
458,JOHN STARK REGIONAL HIGH SCHOOL,NH ,42-Rural: Distant,688
459,MOUNT UNION AREA SHS,PA ,32-Town: Distant,457
460,PRENTICE HIGH,WI ,43-Rural: Remote,128
461,CHARLESTON HIGH,MO ,32-Town: Distant,273
462,MOUNTAIN RANGE HIGH SCHOOL,CO ,21-Suburb: Large,1991
463,JENKS HS,OK ,21-Suburb: Large,3334
464,ALBERTON HIGH SCHOOL,MT ,42-Rural: Distant,32
465,CONCORD HIGH,NC ,13-City: Small,1318
466,CLINTON HIGH,WI ,42-Rural: Distant,382
467,BETHEL PARK HS,PA ,21-Suburb: Large,1528
468,POTOSI HIGH,WI ,42-Rural: Distant,116
469,QUINCY HIGH SCHOOL,WA ,32-Town: Distant,830
470,STRAFFORD HIGH,MO ,21-Suburb: Large,360
471,SILVER VALLEY HIGH,CA ,42-Rural: Distant,378
472,MASHPEE HIGH,MA ,22-Suburb: Mid-size,422
473,EDISON ACADEMY,MA ,21-Suburb: Large,221
474,RAMON C. CORTINES SCHOOL OF VISUAL AND PERFORMING ARTS,CA ,11-City: Large,1527
475,BURKBURNETT H S,TX ,31-Town: Fringe,901
476,HENRY J. KAISER HIGH,CA ,21-Suburb: Large,2335
477,MT. VERNON HIGH,MO ,32-Town: Distant,475
478,FORSYTH HIGH,MO ,32-Town: Distant,409
479,CLEAR CREEK HIGH SCHOOL,CO ,42-Rural: Distant,222
480,ASSETS,TX ,21-Suburb: Large,228
481,WASHTENAW INTERNATIONAL HIGH SCHOOL,MI ,21-Suburb: Large,395
